URL,Priority,Direction,Start Port,End Port,Global,Regular Expression,Override Zero Trust Policy,Note
sv-italia.it,0,2,0,0,1,0,0,Afraid.org 6/23/2026
compuinter.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
flazzard.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
chekanov.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
7dejunio.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
rayray.hk,0,2,0,0,1,0,0,Afraid.org 6/23/2026
zeleznock.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ryanjlowe.us,0,2,0,0,1,0,0,Afraid.org 6/23/2026
yourvaluedhomes.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bujanoci.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
icemail.me.uk,0,2,0,0,1,0,0,Afraid.org 6/23/2026
joseulloa.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
privatedns.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
louis-ip.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
jaytex.ca,0,2,0,0,1,0,0,Afraid.org 6/23/2026
kompaniet.nu,0,2,0,0,1,0,0,Afraid.org 6/23/2026
kump.si,0,2,0,0,1,0,0,Afraid.org 6/23/2026
txtlet.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
sceniconline.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
puffballofevil.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
letorlease.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
lutzenheiser.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
nufszone.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
morganisageek.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
thenme.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
franchisecandidates.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
expedicionesytrekking.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
sumibi.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
paumard.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
keybusinessconnection.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
diamondbsd.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
smelly.cc,0,2,0,0,1,0,0,Afraid.org 6/23/2026
marieblazek.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
recruitment7.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
whatajack.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
edrivensports.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
b33r.us,0,2,0,0,1,0,0,Afraid.org 6/23/2026
viiic.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bryongaskin.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
netmarket.gr,0,2,0,0,1,0,0,Afraid.org 6/23/2026
robot-armies.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ugo.si,0,2,0,0,1,0,0,Afraid.org 6/23/2026
dougtreadwell.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
uitgavepatroon.nl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
visalawyer.co.uk,0,2,0,0,1,0,0,Afraid.org 6/23/2026
adamhayward.co.uk,0,2,0,0,1,0,0,Afraid.org 6/23/2026
viktor.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
agroinvestprojetos.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
reldas.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
jackng.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
masdiseno.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
soportemdq.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
simplecharity.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
buhichan.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
imagetemplate.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
